,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
0,JavaScript,github.com/isaacs/rimraf,3.8,10,0,6.95454545454545,0,0,6,10,0,0,10,1,NaN,9,0,0,NaN,0,10
1,JavaScript,github.com/chalk/strip-ansi,4.6,10,0,8,0,1,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
2,JavaScript,github.com/sindresorhus/has-flag,4.5,10,0,7,0,1,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
3,JavaScript,github.com/chalk/ansi-regex,4.8,10,0,6,0,4,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
4,JavaScript,github.com/form-data/form-data,5.6,10,3,10,0,6,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
5,JavaScript,github.com/isaacs/yallist,3.7,10,0,6.95454545454545,0,0,6,10,0,0,10,0,NaN,9,0,0,NaN,0,10
6,JavaScript,github.com/isaacs/node-lru-cache,4.6,10,0,6,0,0,10,10,0,0,10,10,NaN,7,0,0,NaN,0,10
7,JavaScript,github.com/epoberezkin/fast-deep-equal,5.3,10,0,9,0,6,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
8,JavaScript,github.com/jshttp/mime-types,3.8,10,0,6.95454545454545,0,0,10,10,0,0,10,1,NaN,7,0,0,NaN,0,10
9,JavaScript,github.com/inspect-js/is-core-module,4.5,10,1,10,0,0,10,10,0,0,10,0,NaN,7,0,10,NaN,0,10
10,JavaScript,github.com/caolan/async,6.2,10,0,10,0,8,10,10,10,0,10,10,NaN,7,0,0,NaN,0,10
11,JavaScript,github.com/sindresorhus/camelcase,5.1,10,0,8,0,4,10,10,0,0,10,4,NaN,9,0,10,NaN,0,10
12,JavaScript,github.com/jonschlinkert/is-number,4.9,10,0,10,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
13,JavaScript,github.com/npm/inflight,4.8,10,0,2,0,3,6,10,0,0,10,0,NaN,10,0,0,NaN,10,10
14,JavaScript,github.com/nodejs/string_decoder,5.6,10,0,2,0,5,10,10,0,0,10,0,NaN,10,0,10,NaN,10,10
15,JavaScript,github.com/jonschlinkert/is-extendable,4.8,10,0,6,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
16,JavaScript,github.com/isaacs/core-util-is,4.5,10,0,0,0,0,6,10,0,0,10,0,NaN,10,0,0,NaN,10,10
17,JavaScript,github.com/chalk/chalk,5.4,10,0,8,0,4,10,10,0,0,10,8,NaN,7,0,10,NaN,0,10
18,JavaScript,github.com/sindresorhus/path-is-absolute,5.4,10,0,10,0,0,10,10,0,0,10,0,NaN,10,0,10,NaN,10,10
19,JavaScript,github.com/TooTallNate/util-deprecate,4.7,10,0,0,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
20,JavaScript,github.com/substack/minimist,4.6,10,0,0,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
21,JavaScript,github.com/juliangruber/isarray,7.2,10,6,4,2,3,10,10,10,0,10,5,NaN,10,0,10,NaN,10,10
22,JavaScript,github.com/lydell/js-tokens,4.5,10,0,10,0,4,10,10,0,0,10,2,NaN,9,0,0,NaN,0,10
23,JavaScript,github.com/felixge/node-delayed-stream,5.0,10,0,6.95454545454545,0,0,10,10,0,0,10,0,NaN,10,0.111111111111111,0,NaN,10,10
24,JavaScript,github.com/dougwilson/nodejs-depd,3.7,10,0,6.95454545454545,0,0,10,10,0,0,10,0,NaN,7,0,0,NaN,0,10
25,JavaScript,github.com/ljharb/call-bind,4.7,10,1,10,0,0,10,10,0,0,10,2,NaN,7,0,10,NaN,0,10
26,JavaScript,github.com/zloirock/core-js,5.4,10,0,10,0,0,10,10,0,0,10,10,NaN,9,0,10,NaN,0,10
27,JavaScript,github.com/browserify/resolve,5.3,10,1,10,0,0,10,10,0,0,10,10,NaN,7,0,10,NaN,0,10
28,JavaScript,github.com/juliangruber/brace-expansion,4.6,10,3,8,0,5,10,10,0,0,10,0,NaN,9,0,0,NaN,0,10
29,JavaScript,github.com/jonschlinkert/isobject,5.0,10,0,8,0,2,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
30,JavaScript,github.com/micromatch/braces,5.6,10,0,9,0,3,10,10,0,0,10,0,NaN,10,0,10,NaN,10,10
31,JavaScript,github.com/micromatch/is-glob,4.5,10,0,7,0,1,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
32,JavaScript,github.com/chalk/supports-color,4.8,10,0,10,0,3,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
33,JavaScript,github.com/mathiasbynens/emoji-regex,4.1,10,0,7,0,2,10,10,0,0,10,0,NaN,9,0,0,NaN,0,10
34,JavaScript,github.com/jshttp/statuses,3.9,10,0,10,0,0,10,10,0,0,10,0,NaN,7,0,0,NaN,0,10
35,JavaScript,github.com/npm/node-semver,6.3,10,0,7,0,7,10,10,10,0,10,2,NaN,7,8,10,NaN,0,10
36,JavaScript,github.com/sindresorhus/find-up,4.7,10,0,6,0,3,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
37,JavaScript,github.com/nodejs/readable-stream,6.6,10,0,9,0,6,10,10,0,0,10,10,NaN,9,0,10,NaN,10,10
38,JavaScript,github.com/Raynos/function-bind,4.5,10,0,0,0,0,10,10,0,0,10,4,NaN,7,0,10,NaN,0,10
39,JavaScript,github.com/jshttp/mime-db,4.8,10,0,10,0,1,10,10,0,0,10,10,NaN,7,0,0,NaN,0,10
40,JavaScript,github.com/debug-js/debug,5.6,10,0,6,0,4,10,10,0,0,10,6,NaN,10,0,0,NaN,10,10
41,JavaScript,github.com/isaacs/minimatch,3.8,10,0,0,0,0,6,10,0,0,10,2,NaN,9,0,0,NaN,0,10
42,JavaScript,github.com/sindresorhus/escape-string-regexp,4.6,10,0,8,0,1,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
43,JavaScript,github.com/acornjs/acorn,5.1,10,0,7,0,5,10,10,0,0,10,10,NaN,9,0,0,NaN,0,10
44,JavaScript,github.com/sindresorhus/string-width,4.8,10,0,9,0,4,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
45,JavaScript,github.com/sindresorhus/path-exists,4.6,10,0,8,0,2,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
46,JavaScript,github.com/colorjs/color-name,4.6,10,0,0,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
47,JavaScript,github.com/yargs/yargs,6.4,10,1,10,0,10,10,10,10,0,10,10,NaN,7,0,0,NaN,0,10
48,JavaScript,github.com/epoberezkin/fast-json-stable-stringify,5.1,10,0,10,0,3,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
49,JavaScript,github.com/epoberezkin/json-schema-traverse,4.2,10,0,10,0,4,10,10,0,0,10,0,NaN,7,0,0,NaN,0,10
50,JavaScript,github.com/jonschlinkert/define-property,4.8,10,0,6,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
51,JavaScript,github.com/sindresorhus/locate-path,4.7,10,0,8,0,2,10,10,0,0,10,1,NaN,9,0,10,NaN,0,10
52,JavaScript,github.com/broofa/mime,4.5,10,3,4,0,3,6,10,0,0,10,3,NaN,9,0,0,NaN,0,10
53,JavaScript,github.com/felixge/node-combined-stream,4.7,10,0,0,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
54,JavaScript,github.com/gulpjs/glob-parent,4.4,10,0,3,0,2,10,10,0,0,10,0,NaN,7,0,10,NaN,0,10
55,JavaScript,github.com/lodash/lodash,5.0,10,0,0,0,8,10,10,0,0,10,1,NaN,9,0,10,NaN,0,10
56,JavaScript,github.com/inspect-js/node-supports-preserve-symlinks-flag,4.4,10,1,6.95454545454545,0,0,10,10,0,0,10,0,NaN,7,0,10,NaN,0,10
57,JavaScript,github.com/inspect-js/has-symbols,4.6,10,1,10,0,1,10,10,0,0,10,0,NaN,7,0,10,NaN,0,10
58,JavaScript,github.com/uuidjs/uuid,5.9,10,8,9,0,7,10,10,0,0,10,9,NaN,9,0,0,NaN,0,10
59,JavaScript,github.com/sindresorhus/object-assign,4.6,10,0,8,0,2,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
60,JavaScript,github.com/facebook/regenerator,6.4,10,3,10,0,6,10,10,10,0,10,0,NaN,9,0,10,NaN,0,10
61,JavaScript,github.com/isaacs/node-which,4.6,10,0,2,0,1,6,10,0,0,10,0,NaN,10,0,0,NaN,10,10
62,JavaScript,github.com/sindresorhus/is-fullwidth-code-point,4.7,10,0,7,0,3,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
63,JavaScript,github.com/zertosh/loose-envify,4.9,10,0,10,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
64,JavaScript,github.com/jonschlinkert/kind-of,4.8,10,0,7,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
65,JavaScript,github.com/isaacs/once,3.7,10,0,3,0,0,6,10,0,0,10,0,NaN,9,0,0,NaN,0,10
66,JavaScript,github.com/Qix-/color-convert,4.4,10,0,8,0,3,10,10,0,0,10,3,NaN,9,0,0,NaN,0,10
67,JavaScript,github.com/Raynos/xtend,4.8,10,0,0,0,2,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
68,JavaScript,github.com/Microsoft/tslib,5.3,10,0,10,0,7,10,10,0,0,10,2,NaN,9,0,10,NaN,0,10
69,JavaScript,github.com/substack/node-concat-map,4.7,10,0,6.95454545454545,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
70,JavaScript,github.com/sindresorhus/pify,4.9,10,0,8,0,3,10,10,0,0,10,2,NaN,9,0,10,NaN,0,10
71,JavaScript,github.com/juliangruber/balanced-match,4.9,10,0,1,0,3,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
72,JavaScript,github.com/DefinitelyTyped/DefinitelyTyped,6.5,10,3,9,0,10,10,10,10,0,10,10,NaN,7,0,0,NaN,0,10
73,JavaScript,github.com/ljharb/qs,5.6,10,1,10,0,0,10,10,0,0,10,10,NaN,7,0.111111111111111,10,NaN,0,10
