,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
0,Google,github.com/google/devicehub,4.5,4,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
1,Google,github.com/google/sandboxed-api,5.9,10,0,-1,0,10,10,10,0,0,10,10,-1,7,0,10,-1,0,10
2,Google,github.com/google/java-sourcetools,4.9,10,0,-1,0,0,6,10,0,0,0,0,-1,10,0,10,-1,10,10
3,Google,github.com/google/AndroidForegroundCompat,4.7,9,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,0,10,10
4,Google,github.com/google/cabal2bazel,5.2,10,0,0,0,4,0,10,0,0,10,0,-1,10,0,10,-1,10,10
5,Google,github.com/google/skywater-pdk,6.7,10,3,10,0,5,10,10,10,0,10,10,-1,7,0,10,-1,0,10
6,Google,github.com/google/evojax,5.6,10,0,10,0,1,10,10,0,0,10,10,10,7,0,10,-1,0,10
7,Google,github.com/google/s2geometry,6.0,10,0,0,0,5,3,10,0,0,10,8,-1,10,0,10,-1,10,10
8,Google,github.com/google/edf,5.0,10,0,0,0,2,0,10,0,0,10,0,-1,10,0,10,-1,10,10
9,Google,github.com/google/jsonapi,5.8,10,0,8,0,5,10,10,0,0,10,0,-1,10,0,10,-1,10,10
10,Google,github.com/google/recursive-version-control-system,5.8,10,0,-1,0,0,0,10,0,0,10,10,-1,10,0,10,-1,10,10
11,Google,github.com/google/rttcp,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
12,Google,github.com/google/dart_cli_script,5.1,10,0,10,0,10,6,10,0,0,10,0,-1,7,0,10,-1,0,10
13,Google,github.com/google/auto-arborist,5.7,10,0,-1,0,0,3,10,0,0,10,7,-1,10,0,10,-1,10,10
14,Google,github.com/google/ukip,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
15,Google,github.com/google/cloud-network-reachability,5.6,10,0,-1,0,0,0,10,0,-1,10,0,-1,10,-1,10,-1,10,10
16,Google,github.com/google/supersonic,5.1,10,0,0,0,2,3,10,0,0,10,0,-1,10,0,10,-1,10,10
17,Google,github.com/google/ekep-analysis,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
18,Google,github.com/google/caliper,5.1,10,0,8,0,9,3,10,0,0,10,2,-1,7,0,10,-1,0,10
19,Google,github.com/google/android-key-attestation,4.9,9,0,0,0,1,3,10,0,0,10,0,-1,10,0,10,-1,10,10
20,Google,github.com/google/vpn-libraries,5.1,10,0,-1,0,0,0,10,0,0,10,1,-1,10,0,10,-1,10,10
21,Google,github.com/google/aistreamer,5.1,10,0,0,0,3,6,10,0,0,10,0,-1,7,0,10,-1,10,10
22,Google,github.com/google/chatbase-node,4.9,10,0,0,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
23,Google,github.com/google/uiimage-additions,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
24,Google,github.com/google/macops-molcertificate,6.0,10,8,0,0,4,6,10,0,0,10,0,-1,10,0,10,-1,10,10
25,Google,github.com/google/google-reauth-python,5.1,10,0,0,0,3,0,10,0,0,10,0,-1,10,0,10,-1,10,10
26,Google,github.com/google/security-research,5.4,10,0,0,0,5,3,10,0,0,10,1,-1,10,0,10,-1,10,10
27,Google,github.com/google/compile-testing,6.4,10,0,-1,0,10,6,10,10,0,10,7,-1,7,0,10,-1,0,10
28,Google,github.com/google/wireit,7.5,10,8,10,0,10,10,10,10,0,10,10,-1,7,0,10,-1,0,10
29,Google,github.com/google/vae-seq,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
30,Google,github.com/google/wmt-mqm-human-evaluation,5.6,10,0,0,0,2,0,10,0,0,10,7,-1,10,0,10,-1,10,10
31,Google,github.com/google/lifetime_value,5.8,10,0,-1,0,9,0,10,0,0,10,0,-1,10,0,10,-1,10,10
32,Google,github.com/google/ad_language_monitor,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
33,Google,github.com/google/hardware-perfcounter,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
34,Google,github.com/google/automl-video-ondevice,6.1,9,8,0,0,6,6,10,0,0,10,0,-1,10,0,10,-1,10,10
35,Google,github.com/google/vim-colorscheme-primary,5.0,10,0,0,0,1,3,10,0,0,10,0,-1,10,0,10,-1,10,10
36,Google,github.com/google/cssi-blogasaurus,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
37,Google,github.com/google/cdep,4.9,9,0,10,0,1,6,10,0,0,10,0,-1,10,0,10,0,10,10
38,Google,github.com/google/asr-recipes,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
39,Google,github.com/google/recaptcha,5.5,10,0,7,0,4,3,10,0,0,10,0,-1,10,0,10,-1,10,10
40,Google,github.com/google/ion,5.0,10,0,0,0,1,0,10,0,0,10,1,-1,10,0,10,-1,10,10
41,Google,github.com/google/rubik,5.8,10,0,0,0,1,3,10,0,0,10,10,-1,10,0,10,-1,10,10
42,Google,github.com/google/low_volume_skus,5.1,10,0,-1,0,0,0,10,0,0,10,1,-1,10,0,10,-1,10,10
43,Google,github.com/google/robotstxt-java,6.4,10,6,0,0,10,10,10,0,0,10,0,-1,10,0,10,-1,10,10
44,Google,github.com/google/soong_verification,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
45,Google,github.com/google/REAPER,5.3,10,0,0,0,3,6,10,0,0,10,0,-1,10,0,10,-1,10,10
46,Google,github.com/google/REAPER,5.3,10,0,0,0,3,6,10,0,0,10,0,-1,10,0,10,-1,10,10
47,Google,github.com/google/dqm,5.0,10,0,0,0,1,3,10,0,0,10,0,-1,10,0,10,-1,10,10
48,Google,github.com/google/android-wear-stitch-script,5.3,10,0,0,0,5,0,10,0,0,10,0,-1,10,0,10,-1,10,10
49,Google,github.com/google/gnostic,6.0,10,8,8,0,10,10,10,0,0,10,1,-1,9,0,10,-1,0,10
50,Google,github.com/google/framecount-colorbars-v1,4.9,9,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
51,Google,github.com/google/streaming_hdp,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
52,Google,github.com/google/skywater-pdk-libs-sky130_fd_sc_hd,5.5,10,3,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
53,Google,github.com/google/go-querystring,5.4,10,0,10,0,2,10,10,10,0,10,0,-1,7,0,10,-1,0,10
54,Google,github.com/google/ihmehimmeli,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
55,Google,github.com/google/wear-displaylock,5.0,9,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
56,Google,github.com/google/mail-importer,4.7,10,0,0,0,1,3,10,0,0,10,0,-1,10,0,10,0,10,10
57,Google,github.com/google/dart_google_apps,5.4,10,0,0,0,3,10,10,0,0,10,0,-1,10,0,10,-1,10,10
58,Google,github.com/google/step197-2020,5.9,10,0,0,0,9,10,10,0,0,10,0,-1,10,0,10,-1,10,10
59,Google,github.com/google/vulncode-db,5.0,10,0,10,0,1,10,10,0,0,10,0,-1,7,9,10,-1,0,10
60,Google,github.com/google/node-gles,5.4,10,0,0,0,7,0,10,0,0,10,0,-1,10,0,10,-1,10,10
61,Google,github.com/google/swift-clang,4.7,10,0,-1,0,0,0,10,0,0,0,0,-1,10,0,10,-1,10,10
62,Google,github.com/google/science-journal-arduino,4.6,10,0,0,0,0,3,10,0,0,10,0,-1,10,0,10,0,10,10
63,Google,github.com/google/mysql,5.1,9,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
64,Google,github.com/google/capsicum-linux,5.4,10,3,-1,0,0,-1,10,0,0,10,0,-1,10,0,10,-1,10,10
65,Google,github.com/google/auto,7.4,10,0,10,0,10,10,10,10,10,10,10,-1,7,0,10,-1,0,10
66,Google,github.com/google/flaxformer,4.9,10,0,-1,0,8,0,10,0,0,10,2,-1,8,0,10,-1,0,10
67,Google,github.com/google/wear-screeninfo,5.0,9,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
68,Google,github.com/google/coset,7.1,10,6,10,0,10,6,10,10,0,10,0,-1,5,0,10,-1,10,10
69,Google,github.com/google/skywater-pdk-actions,4.8,10,0,9,0,3,10,10,0,0,10,0,10,5,0,10,-1,0,10
70,Google,github.com/google/gae-secure-scaffold-python,5.2,10,0,0,0,3,3,10,0,0,10,0,-1,10,0,10,-1,10,10
71,Google,github.com/google/sonic-midi,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
72,Google,github.com/google/poseshield-tfjs,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
73,Google,github.com/google/nomulus,7.2,6,8,0,0,10,10,10,0,0,10,10,-1,2,10,10,-1,10,10
74,Google,github.com/google/sky-optimization,5.2,10,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
