,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
0,Apache,github.com/apache/royale-asjs,5.6,10,0,-1,0,0,10,10,0,0,10,10,-1,10,0,10,0,10,10
1,Apache,github.com/apache/royale-asjs,5.6,10,0,-1,0,0,10,10,0,0,10,10,-1,10,0,10,0,10,10
2,Apache,github.com/apache/commons-imaging,7.6,10,0,10,0,3,10,10,10,0,10,10,-1,7,10,10,-1,9,10
3,Apache,github.com/apache/mahout,4.1,10,0,0,0,2,10,10,0,0,10,0,-1,2,0,10,-1,0,10
4,Apache,github.com/apache/couchdb-meck,4.3,10,0,-1,0,0,10,10,0,0,10,0,-1,7,0,10,-1,0,10
5,Apache,github.com/apache/james-jsieve,5.6,10,0,1,0,5,10,10,0,0,10,0,-1,10,0,10,-1,10,10
6,Apache,github.com/apache/activemq-activeio,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
7,Apache,github.com/apache/tuscany-das,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
8,Apache,github.com/apache/bval,6.3,10,3,0,0,3,10,10,0,0,10,8,-1,10,0,10,-1,10,10
9,Apache,github.com/apache/commons-net,6.9,10,3,10,0,2,10,10,10,0,10,10,-1,7,9,10,-1,0,10
10,Apache,github.com/apache/couchdb-ibrowse,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
11,Apache,github.com/apache/cloudstack-docs-admin,5.7,9,3,0,0,5,10,10,0,0,10,0,-1,10,0,10,-1,10,10
12,Apache,github.com/apache/oodt,5.5,10,3,0,0,3,10,10,0,0,10,0,-1,7,0,10,-1,10,10
13,Apache,github.com/apache/bookkeeper,5.9,10,3,9,0,10,10,10,0,0,10,10,-1,0,0,10,-1,0,10
14,Apache,github.com/apache/tez,6.5,10,0,10,0,9,10,10,0,0,10,10,-1,2,0,10,-1,10,10
15,Apache,github.com/apache/zetacomponents,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
16,Apache,github.com/apache/ant-easyant-plugins,5.2,10,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
