Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
CNCF,github.com/in-toto/in-toto,7.0,10,3,10,7,9,10,10,10,0,10,9,-1,9,0,0,10,0,10
CNCF,github.com/kedacore/keda,6.2,10,8,10,5,10,10,0,10,0,10,10,-1,0,10,10,0,0,10
CNCF,github.com/jaegertracing/jaeger,6.8,10,1,10,5,8,10,10,10,0,10,10,-1,5,10,10,0,0,10
CNCF,github.com/fluent/fluentd,7.0,10,-1,-1,5,5,10,10,0,-1,10,10,-1,7,-1,10,-1,0,10
CNCF,github.com/cilium/cilium,7.3,10,8,10,5,10,10,0,10,10,10,10,10,0,8,10,-1,0,10
CNCF,github.com/kubeedge/kubeedge,5.8,10,3,10,5,6,10,10,0,10,10,10,-1,0,0,10,0,0,10
CNCF,github.com/argoproj/argo-workflows,7.2,10,8,10,5,10,10,10,10,0,10,10,10,-1,0,10,0,0,10
CNCF,github.com/nats-io/nats-server,6.0,10,6,9,0,9,10,10,0,10,10,10,10,5,0,0,0,0,10
CNCF,github.com/thanos-io/thanos,7.5,10,8,10,7,10,10,10,10,0,10,10,-1,5,9,10,0,0,10
CNCF,github.com/buildpacks/pack,7.1,10,2,10,0,10,10,10,10,0,10,10,10,7,10,10,0,0,10
CNCF,github.com/kyverno/kyverno,7.0,10,8,10,5,10,10,10,10,0,10,10,10,2,0,10,0,0,10
CNCF,github.com/cri-o/cri-o,7.5,10,3,10,5,9,10,10,10,10,10,10,-1,5,9,10,0,0,10
CNCF,github.com/falcosecurity/falco,6.6,10,2,10,5,10,10,10,0,0,10,10,-1,5,7,10,-1,0,10
CNCF,github.com/backstage/backstage,6.6,10,6,10,0,10,10,0,10,0,10,10,10,0,9,10,-1,0,10
CNCF,github.com/fluxcd/flux2,7.8,10,8,10,5,10,10,10,0,10,10,10,10,0,9,10,10,0,10
CNCF,github.com/operator-framework/operator-sdk,7.7,10,8,10,0,10,10,10,10,0,10,10,10,5,0,10,10,0,10
CNCF,github.com/tikv/tikv,6.8,10,8,10,5,10,10,10,0,0,10,10,-1,2,0,0,-1,10,10
CNCF,github.com/open-telemetry/community,7.6,10,8,-1,0,10,10,10,0,0,10,10,-1,10,0,10,-1,10,10
CNCF,github.com/longhorn/longhorn,5.6,10,8,0,0,7,10,10,0,0,10,10,-1,7,0,0,-1,0,10
CNCF,github.com/notaryproject/notary,5.5,10,2,9,0,9,10,10,0,0,10,4,-1,7,0,0,0,10,10
CNCF,github.com/projectcontour/contour,7.0,10,8,10,5,10,10,10,0,0,10,10,-1,0,10,10,-1,0,10
CNCF,github.com/dragonflyoss/Dragonfly2,7.1,10,6,10,0,10,10,10,10,0,10,10,10,0,10,10,0,0,10
CNCF,github.com/keptn/keptn,7.3,10,8,10,2,10,10,10,10,0,10,10,10,0,10,10,0,0,10
CNCF,github.com/etcd-io/etcd,6.4,10,3,10,5,10,10,10,0,0,10,10,10,2,10,10,0,0,10
CNCF,github.com/kubernetes/kubernetes,6.8,10,3,10,5,8,10,10,0,10,10,10,-1,2,0,10,0,10,10
CNCF,github.com/coredns/coredns,7.2,10,3,10,5,9,10,10,10,0,10,10,10,5,10,10,0,0,10
CNCF,github.com/knative/serving,5.4,10,3,10,2,10,10,10,0,0,10,10,-1,0,8,0,0,0,10
CNCF,github.com/open-policy-agent/opa,7.3,10,8,10,5,8,10,10,10,10,10,10,-1,5,0,10,0,0,10
CNCF,github.com/rook/rook,6.7,10,8,10,5,10,10,10,0,0,10,10,-1,5,0,10,-1,0,10
CNCF,github.com/prometheus/prometheus,7.5,10,3,10,5,9,10,10,10,10,10,10,-1,5,9,10,0,0,10
CNCF,github.com/dapr/dapr,6.8,10,8,10,2,10,10,10,10,0,10,10,10,0,0,10,0,0,10
CNCF,github.com/cubeFS/cubefs,5.5,10,8,-1,0,10,6,10,0,0,10,10,-1,2,-1,0,0,0,10
CNCF,github.com/cloudevents/spec,5.3,10,0,10,0,6,10,10,0,0,10,10,-1,9,0,0,-1,0,10
CNCF,github.com/containernetworking/cni,4.8,10,3,10,2,7,10,10,0,0,10,6,-1,7,0,0,0,0,10
CNCF,github.com/volcano-sh/volcano,6.0,10,1,10,5,10,10,10,0,0,10,10,-1,0,10,10,0,0,10
CNCF,github.com/vitessio/vitess,6.3,8,2,10,5,10,10,-1,0,10,10,10,-1,-1,0,10,0,-1,10
CNCF,github.com/envoyproxy/envoy,7.7,9,8,10,5,10,10,10,10,0,10,10,-1,7,2,10,-1,0,10
CNCF,github.com/cilium/tetragon,7.1,9,6,10,0,10,10,10,10,0,10,10,10,5,6,10,0,0,10
CNCF,github.com/fluxcd/flagger,6.5,10,6,9,5,10,10,10,0,0,10,10,10,0,10,10,0,0,10
CNCF,github.com/containerd/containerd,6.8,10,3,10,5,10,10,10,0,10,10,10,-1,-1,7,10,0,0,10
CNCF,github.com/spiffe/spiffe,6.1,10,8,0,0,10,10,10,0,0,10,1,-1,10,0,0,-1,10,10
CNCF,github.com/theupdateframework/python-tuf,8.1,10,8,10,10,10,10,10,10,0,10,10,-1,10,10,0,10,0,10
CNCF,github.com/emissary-ingress/emissary,7.4,10,8,10,2,10,10,10,10,0,10,10,-1,5,9,0,-1,0,10
CNCF,github.com/spiffe/spire,7.7,10,8,-1,5,10,10,10,10,-1,10,10,-1,5,-1,10,0,0,10
CNCF,github.com/linkerd/linkerd2,8.0,10,10,10,5,10,10,10,10,10,10,10,-1,5,7,10,0,0,10
CNCF,github.com/kubevirt/kubevirt,6.3,10,3,9,5,8,10,10,0,0,10,10,-1,2,0,10,0,10,10
CNCF,github.com/cortexproject/cortex,5.4,10,1,10,0,10,10,10,0,0,10,10,-1,2,0,10,0,0,10
CNCF,github.com/OpenObservability/OpenMetrics,6.1,10,0,10,0,9,10,10,0,0,10,8,-1,7,0,0,-1,10,10
CNCF,github.com/chaos-mesh/chaos-mesh,6.2,10,3,10,2,10,10,10,0,0,10,10,10,0,0,10,-1,0,10
CNCF,github.com/goharbor/harbor,7.4,10,10,10,7,10,10,10,0,0,10,10,-1,0,10,10,10,0,10
CNCF,github.com/grpc/grpc,6.3,8,3,10,5,10,10,10,0,10,10,10,-1,-1,0,10,0,0,10
CNCF,github.com/helm/helm,8.2,10,0,10,5,9,10,10,10,10,10,10,-1,9,9,10,10,0,10
CNCF,github.com/crossplane/crossplane,7.1,10,8,10,0,10,10,10,0,10,10,10,-1,7,7,0,-1,0,10
CNCF,github.com/cilium/hubble,7.0,10,6,10,0,10,10,10,10,0,10,10,10,7,10,0,0,0,10
CNCF,github.com/litmuschaos/litmus,6.9,10,5,10,2,10,10,10,0,0,10,10,-1,5,9,10,-1,0,10
